,episode_name,dialogue,person_scene,season,episode,persons_bert,num_sentences
121,Series 01 Episode 01 – Pilot Episode,Here we go.,Leonard,01,01,[],1
125,Series 01 Episode 01 – Pilot Episode,Just sit somewhere else.,Leonard,01,01,[],1
127,Series 01 Episode 01 – Pilot Episode," Sheldon, sit!",Leonard,01,01,['Sheldon'],1
129,Series 01 Episode 01 – Pilot Episode,Well this is nice. We don’t have a lot of company over.,Leonard,01,01,[],2
131,Series 01 Episode 01 – Pilot Episode," Yes I now, but…",Leonard,01,01,[],1
133,Series 01 Episode 01 – Pilot Episode," Yes, I remember.",Leonard,01,01,[],1
135,Series 01 Episode 01 – Pilot Episode,I’m sorry.,Leonard,01,01,[],1
137,Series 01 Episode 01 – Pilot Episode,I said I’m sorry.,Leonard,01,01,[],1
139,Series 01 Episode 01 – Pilot Episode," Yeah, it’s like regular boggle but, in Klingon. That’s probably enough about us, tell us about you.",Leonard,01,01,[],2
143,Series 01 Episode 01 – Pilot Episode," I think what Sheldon’s trying to say, is that Sagittarius wouldn’t have been our first guess.",Leonard,01,01,"['Sheldon', 'Sa']",1
146,Series 01 Episode 01 – Pilot Episode," Wu-uh, do you have some sort of a job?",Leonard,01,01,[],1
148,Series 01 Episode 01 – Pilot Episode," Oh, okay. I love cheesecake.",Leonard,01,01,[],2
150,Series 01 Episode 01 – Pilot Episode," I don’t eat it, I just think it’s a good idea.",Leonard,01,01,[],1
152,Series 01 Episode 01 – Pilot Episode,So it’s based on your life?,Leonard,01,01,[],1
154,Series 01 Episode 01 – Pilot Episode," Well, if that was a movie I would go see it.",Leonard,01,01,[],1
156,Series 01 Episode 01 – Pilot Episode,Well it sounds wonderful.,Leonard,01,01,[],1
162,Series 01 Episode 01 – Pilot Episode,Don’t.,Leonard,01,01,[],1
164,Series 01 Episode 01 – Pilot Episode,Should I say something? I feel like I should say something.,Leonard,01,01,[],2
168,Series 01 Episode 01 – Pilot Episode," No, it’s not crazy it’s, uh, uh, it’s a paradox. And paradoxes are part of nature, think about light. Now if you look at Huygens, light is a wave, as confirmed by the double slit experiments, but then, along comes Albert Einstein and discovers that light behaves like particles too. Well, I didn’t make it worse.",Leonard,01,01,"['Hu', '##gens', 'Albert']",4
170,Series 01 Episode 01 – Pilot Episode,Our shower works.,Leonard,01,01,[],1
173,Series 01 Episode 01 – Pilot Episode,No.,Leonard,01,01,[],1
175,Series 01 Episode 01 – Pilot Episode,No.,Leonard,01,01,[],1
177,Series 01 Episode 01 – Pilot Episode,It’s right down the hall.,Leonard,01,01,[],1
180,Series 01 Episode 01 – Pilot Episode,How so?,Leonard,01,01,[],1
182,Series 01 Episode 01 – Pilot Episode," That’s not true, remember at Thanksgiving my grandmother with Alzheimer’s had that episode.",Leonard,01,01,[],1
184,Series 01 Episode 01 – Pilot Episode,The worst part was watching her carve that turkey.,Leonard,01,01,[],1
186,Series 01 Episode 01 – Pilot Episode,Excuse me?,Leonard,01,01,[],1
188,Series 01 Episode 01 – Pilot Episode,Well I’m not trying to have sex with her.,Leonard,01,01,[],1
190,Series 01 Episode 01 – Pilot Episode," What makes you think she wouldn’t have sex with me, I’m a male and she’s a female?",Leonard,01,01,[],1
192,Series 01 Episode 01 – Pilot Episode," I’m not going to engage in hypotheticals here, I’m just trying to be a good neighbour.",Leonard,01,01,[],1
194,Series 01 Episode 01 – Pilot Episode,That’s not to say that if a carnal relationship were to develop that I wouldn’t participate. However briefly.,Leonard,01,01,[],2
196,Series 01 Episode 01 – Pilot Episode,It’s Darth Vader shampoo. (There is a knock on the door.) Luke Skywalker’s the conditioner.,Leonard,01,01,['Luke'],3
199,Series 01 Episode 01 – Pilot Episode,See what?,Leonard,01,01,[],1
201,Series 01 Episode 01 – Pilot Episode,This is not a good time.,Leonard,01,01,[],1
203,Series 01 Episode 01 – Pilot Episode," That’s great, you guys have to go.",Leonard,01,01,[],1
205,Series 01 Episode 01 – Pilot Episode,It’s just not a good time.,Leonard,01,01,[],1
208,Series 01 Episode 01 – Pilot Episode," No. And she’s not a lady, she’s just a new neighbour.",Leonard,01,01,[],2
210,Series 01 Episode 01 – Pilot Episode,Uh-huh.,Leonard,01,01,[],1
212,Series 01 Episode 01 – Pilot Episode,I’m not anticipating coitus.,Leonard,01,01,[],1
214,Series 01 Episode 01 – Pilot Episode,Can we please stop saying coitus?,Leonard,01,01,[],1
219,Series 01 Episode 01 – Pilot Episode," Come on, I’ll show you the trick with the shower.",Leonard,01,01,[],1
223,Series 01 Episode 01 – Pilot Episode," Save it for your blog, Howard.",Leonard,01,01,['Howard'],1
226,Series 01 Episode 01 – Pilot Episode," Uh, there it goes, it sticks, I’m sorry.",Leonard,01,01,[],1
228,Series 01 Episode 01 – Pilot Episode," You’re welcome, oh, you’re going to step right, okay, I’ll….",Leonard,01,01,[],1
230,Series 01 Episode 01 – Pilot Episode,The hair products are Sheldon’s.,Leonard,01,01,['Sheldon'],1
232,Series 01 Episode 01 – Pilot Episode," A favour? Sure, you can ask me a favour, I would do you a favour for you.",Leonard,01,01,[],2
234,Series 01 Episode 01 – Pilot Episode," Oh, I’ll probably say yes.",Leonard,01,01,[],1
236,Series 01 Episode 01 – Pilot Episode,Wow.,Leonard,01,01,[],1
239,Series 01 Episode 01 – Pilot Episode,Must we?,Leonard,01,01,[],1
241,Series 01 Episode 01 – Pilot Episode," She asked me to do her a favour, Sheldon.",Leonard,01,01,['Sheldon'],1
243,Series 01 Episode 01 – Pilot Episode,Which is?,Leonard,01,01,[],1
245,Series 01 Episode 01 – Pilot Episode,That’s a biological impossibility and you didn’t have to come.,Leonard,01,01,[],1
247,Series 01 Episode 01 – Pilot Episode," Come on, you know how it is with break-ups.",Leonard,01,01,[],1
249,Series 01 Episode 01 – Pilot Episode," Wuh, I, I broke up with Joyce Kim.",Leonard,01,01,['Joyce'],1
251,Series 01 Episode 01 – Pilot Episode,To mend her broken heart. This situation is much less complicated. There’s some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.,Leonard,01,01,['Penny'],4
253,Series 01 Episode 01 – Pilot Episode," No, Sheldon, there’s not going to be a scene. There’s two of us and one of him.",Leonard,01,01,['Sheldon'],2
264,Series 01 Episode 01 – Pilot Episode," Hi, I’m Leonard, this is Sheldon.",Leonard,01,01,"['Leonard', 'Sheldon']",1
266,Series 01 Episode 01 – Pilot Episode," What did I just…. Uh, we’re here to pick up Penny’s TV.",Leonard,01,01,['Penny'],2
269,Series 01 Episode 01 – Pilot Episode,We’re not going to give up just like that.,Leonard,01,01,[],1
271,Series 01 Episode 01 – Pilot Episode," Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang.",Leonard,01,01,[],1
274,Series 01 Episode 01 – Pilot Episode," Come on, we have a combined IQ of 360, we should be able to figure out how to get into a stupid building.",Leonard,01,01,[],1
276,Series 01 Episode 01 – Pilot Episode,Just grab the door.,Leonard,01,01,[],1
278,Series 01 Episode 01 – Pilot Episode,This is it. (Knocks.) I’ll do the talking.,Leonard,01,01,[],3
281,Series 01 Episode 01 – Pilot Episode," I’m Leonard, this is Sheldon.",Leonard,01,01,"['Leonard', 'Sheldon']",1
284,Series 01 Episode 01 – Pilot Episode,Oh. We’re scientists.,Leonard,01,01,[],2
288,Series 01 Episode 01 – Pilot Episode,What?,Leonard,01,01,[],1
290,Series 01 Episode 01 – Pilot Episode,I’m sorry.,Leonard,01,01,[],1
293,Series 01 Episode 01 – Pilot Episode," Sheldon, I’m so sorry I dragged you through this.",Leonard,01,01,['Sheldon'],1
295,Series 01 Episode 01 – Pilot Episode," And you were right about my motives, I was hoping to establish a relationship with Penny that might have some day led to sex.",Leonard,01,01,['Penny'],1
297,Series 01 Episode 01 – Pilot Episode," Anyway, I’ve learned my lesson. She’s out of my league, I’m done with her, I’ve got my work, one day I’ll win the Nobel Prize and then I’ll die alone.",Leonard,01,01,[],2
299,Series 01 Episode 01 – Pilot Episode," Thank you Sheldon, you’re a good friend.",Leonard,01,01,['Sheldon'],1
309,Series 01 Episode 01 – Pilot Episode,We’re home.,Leonard,01,01,[],1
311,Series 01 Episode 01 – Pilot Episode," Well, your ex-boyfriend sends his regards and I think the rest is fairly self-explanatory.",Leonard,01,01,[],1
313,Series 01 Episode 01 – Pilot Episode," No, it was a valid hypothesis.",Leonard,01,01,[],1
316,Series 01 Episode 01 – Pilot Episode,Really? Great.,Leonard,01,01,[],2
318,Series 01 Episode 01 – Pilot Episode,Our babies will be smart and beautiful.,Leonard,01,01,[],1
321,Series 01 Episode 01 – Pilot Episode,Is Thai food okay with you Penny?,Leonard,01,01,['Penny'],1
334,Series 01 Episode 02 – The Big Bran Hypothesis," There you go, Pad Thai, no peanuts.",Leonard,01,02,[],1
336,Series 01 Episode 02 – The Big Bran Hypothesis," Uh, I’m not sure, everyone keep an eye on Howard in case he starts to swell up.",Leonard,01,02,['Howard'],1
340,Series 01 Episode 02 – The Big Bran Hypothesis,Here we go.,Leonard,01,02,[],1
342,Series 01 Episode 02 – The Big Bran Hypothesis," Ask him for a napkin, I dare you. (There is a knock on the door.) I’ll get it.",Leonard,01,02,[],3
345,Series 01 Episode 02 – The Big Bran Hypothesis," Oh, hi Penny.",Leonard,01,02,['Penny'],1
347,Series 01 Episode 02 – The Big Bran Hypothesis,No.,Leonard,01,02,[],1
351,Series 01 Episode 02 – The Big Bran Hypothesis," They’re not going anywhere. (Closes door, staying in hallway.) So, you’re coming home from work. That’s great. How was work.",Leonard,01,02,[],5
353,Series 01 Episode 02 – The Big Bran Hypothesis," So, you sort of act as a carbohydrate delivery system.",Leonard,01,02,[],1
355,Series 01 Episode 02 – The Big Bran Hypothesis,Yes.,Leonard,01,02,[],1
367,Series 01 Episode 02 – The Big Bran Hypothesis," So, there’s gonna be some furniture delivered?",Leonard,01,02,[],1
369,Series 01 Episode 02 – The Big Bran Hypothesis," Yeah, no problem.",Leonard,01,02,[],1
371,Series 01 Episode 02 – The Big Bran Hypothesis," Penny, wait.",Leonard,01,02,['Penny'],1
373,Series 01 Episode 02 – The Big Bran Hypothesis," Um, if you don’t have any other plans, do you want to join us for Thai food and a Superman movie marathon?",Leonard,01,02,[],1
381,Series 01 Episode 02 – The Big Bran Hypothesis," Unless, Superman matches her speed and decelerates. ",Leonard,01,02,['Superman'],1
383,Series 01 Episode 02 – The Big Bran Hypothesis," Excuse me, your entire argument is predicated on the assumption that Superman’s flight is a feat of strength.",Leonard,01,02,['Superman'],1
388,Series 01 Episode 02 – The Big Bran Hypothesis," I have 26 hundred comic books in there, I challenge you to find a single reference to Kryptonian skin cells.",Leonard,01,02,[],1
392,Series 01 Episode 02 – The Big Bran Hypothesis," Okay, her apartment’s on the fourth floor but the elevator’s broken so you’re going to have to (delivery man leaves) oh, you’re just going to be done, okay, cool, thanks. I guess we’ll just bring it up ourselves.",Leonard,01,02,[],2
394,Series 01 Episode 02 – The Big Bran Hypothesis,Why not?,Leonard,01,02,[],1
396,Series 01 Episode 02 – The Big Bran Hypothesis," We don’t need strength, we’re physicists. We are the intellectual descendents of Archimedes. Give me a fulcrum and a lever and I can move the Earth, it’s just a matter… (starts to move package) I don’t have this… I don’t have this I don’t have this.",Leonard,01,02,[],3
398,Series 01 Episode 02 – The Big Bran Hypothesis,Do you have any ideas?,Leonard,01,02,[],1
400,Series 01 Episode 02 – The Big Bran Hypothesis," Easy, easy (package falls) Okay! Now we’ve got an inclined plane. The force required to lift is reduced by the sine of the angle of the stairs, call it thirty degrees, so about half. ",Leonard,01,02,[],3
404,Series 01 Episode 02 – The Big Bran Hypothesis," What? Oh, okay, uh, okay, yeah, no problem, just come up here and help me pull and turn.",Leonard,01,02,[],2
407,Series 01 Episode 02 – The Big Bran Hypothesis,Men do things for women without expecting sex.,Leonard,01,02,[],1
409,Series 01 Episode 02 – The Big Bran Hypothesis," I’m doing this to be a good neighbour. In any case, there’s no way it could lower the odds.",Leonard,01,02,[],2
410,Series 01 Episode 02 – The Big Bran Hypothesis," Almost there, almost there, almost there. (Lets go of package, it starts to slip down)",Leonard,01,02,[],2
414,Series 01 Episode 02 – The Big Bran Hypothesis,You okay?,Leonard,01,02,[],1
416,Series 01 Episode 02 – The Big Bran Hypothesis,So Penny’s a little messy.,Leonard,01,02,['Penny'],1
418,Series 01 Episode 02 – The Big Bran Hypothesis," Did it ever occur to you that not everyone has the compulsive need to sort, organise and label the entire world around them?",Leonard,01,02,[],1
420,Series 01 Episode 02 – The Big Bran Hypothesis," Well they don’t. Hard as it may be for you to believe, most people don’t sort their breakfast cereal numerically by fibre content.",Leonard,01,02,[],2
422,Series 01 Episode 02 – The Big Bran Hypothesis," Come on, we should go.",Leonard,01,02,[],1
424,Series 01 Episode 02 – The Big Bran Hypothesis,What are you doing?,Leonard,01,02,[],1
426,Series 01 Episode 02 – The Big Bran Hypothesis," Sheldon, this is not your home.",Leonard,01,02,['Sheldon'],1
428,Series 01 Episode 02 – The Big Bran Hypothesis," When the transvestite lived here, you didn’t care how he kept the place.",Leonard,01,02,[],1
430,Series 01 Episode 02 – The Big Bran Hypothesis,What were you doing in his closet?,Leonard,01,02,[],1
433,Series 01 Episode 02 – The Big Bran Hypothesis," Oh, hey Penny, this just arrived, we just brought this up, just now.",Leonard,01,02,['Penny'],1
436,Series 01 Episode 02 – The Big Bran Hypothesis,No.,Leonard,01,02,[],1
438,Series 01 Episode 02 – The Big Bran Hypothesis,No.,Leonard,01,02,[],1
440,Series 01 Episode 02 – The Big Bran Hypothesis," Well, we’ll get out of your hair.",Leonard,01,02,[],1
444,Series 01 Episode 02 – The Big Bran Hypothesis,It’s a joke.,Leonard,01,02,[],1
446,Series 01 Episode 02 – The Big Bran Hypothesis," Yeah, he didn’t tell it right.",Leonard,01,02,[],1
448,Series 01 Episode 02 – The Big Bran Hypothesis,Sheldon?,Leonard,01,02,['Sheldon'],1
450,Series 01 Episode 02 – The Big Bran Hypothesis,Sheldon? Hello? ,Leonard,01,02,['Sheldon'],2
452,Series 01 Episode 02 – The Big Bran Hypothesis,Sheldon!,Leonard,01,02,['Sheldon'],1
454,Series 01 Episode 02 – The Big Bran Hypothesis," Are you insane, you can’t just break into a woman’s apartment in the middle of the night and clean.",Leonard,01,02,[],1
456,Series 01 Episode 02 – The Big Bran Hypothesis," Do you realise that if Penny wakes up, there is no reasonable explanation as to why we’re here?",Leonard,01,02,['Penny'],1
458,Series 01 Episode 02 – The Big Bran Hypothesis," No, no. You gave me an explanation, it’s reasonableness will be determined by a jury of your peers.",Leonard,01,02,[],2
460,Series 01 Episode 02 – The Big Bran Hypothesis," Sheldon, we have to get out of here.",Leonard,01,02,['Sheldon'],1
462,Series 01 Episode 02 – The Big Bran Hypothesis,What?,Leonard,01,02,[],1
464,Series 01 Episode 02 – The Big Bran Hypothesis,That’s ridiculous. (Penny snores again.),Leonard,01,02,['Penny'],2
468,Series 01 Episode 02 – The Big Bran Hypothesis,O-o-o-oh! (Collapses against wall).,Leonard,01,02,[],2
470,Series 01 Episode 02 – The Big Bran Hypothesis," Oh, what the hell.",Leonard,01,02,[],1
473,Series 01 Episode 02 – The Big Bran Hypothesis,Morning. ,Leonard,01,02,[],1
475,Series 01 Episode 02 – The Big Bran Hypothesis,I’m not surprised. A well known folk cure for insomnia is to break into your neighbour’s apartment and clean.,Leonard,01,02,[],2
477,Series 01 Episode 02 – The Big Bran Hypothesis,You think?,Leonard,01,02,[],1
479,Series 01 Episode 02 – The Big Bran Hypothesis," You know what, you’ve convinced me, maybe tonight we should sneak in and shampoo her carpet.",Leonard,01,02,[],1
481,Series 01 Episode 02 – The Big Bran Hypothesis," Yes! For God’s sake, Sheldon, do I have to hold up a sarcasm sign every time I open my mouth.",Leonard,01,02,"['God', 'Sheldon']",2
483,Series 01 Episode 02 – The Big Bran Hypothesis," No, I do not have a sarcasm sign.",Leonard,01,02,[],1
486,Series 01 Episode 02 – The Big Bran Hypothesis,Penny’s up.,Leonard,01,02,['Penny'],1
488,Series 01 Episode 02 – The Big Bran Hypothesis,How did she know it was us?,Leonard,01,02,[],1
491,Series 01 Episode 02 – The Big Bran Hypothesis," God, this is going to be bad.",Leonard,01,02,['God'],1
494,Series 01 Episode 02 – The Big Bran Hypothesis," Yes, but, only to clean.",Leonard,01,02,[],1
497,Series 01 Episode 02 – The Big Bran Hypothesis," I’m very, very sorry.",Leonard,01,02,[],1
499,Series 01 Episode 02 – The Big Bran Hypothesis," Oh, yes, we discussed it at length last night.",Leonard,01,02,[],1
505,Series 01 Episode 02 – The Big Bran Hypothesis," Okay, look, no Penny, I think what you’re feeling is perfectly valid, and maybe a little bit later today when you’re feeling a little bit less, for lack of a better word, violated, maybe we could talk about this some more.",Leonard,01,02,['Penny'],1
507,Series 01 Episode 02 – The Big Bran Hypothesis," Sure, that’s another way to go.",Leonard,01,02,[],1
509,Series 01 Episode 02 – The Big Bran Hypothesis,You are going to march yourself over there right now and apologise. (Sheldon laughs.) What’s funny?,Leonard,01,02,['Sheldon'],3
511,Series 01 Episode 02 – The Big Bran Hypothesis,No.,Leonard,01,02,[],1
527,Series 01 Episode 02 – The Big Bran Hypothesis,It’s fine. You win.,Leonard,01,02,[],2
534,Series 01 Episode 02 – The Big Bran Hypothesis,What did she say? Is she still mad at me?,Leonard,01,02,[],2
540,Series 01 Episode 02 – The Big Bran Hypothesis,Oh.,Leonard,01,02,[],1
542,Series 01 Episode 02 – The Big Bran Hypothesis," Um, here’s the thing. (Reads from note.) Penny. Just as Oppenheimer came to regret his contributions to the first atomic bomb, so too I regret my participation in what was, at the very least, an error in judgement. The hallmark of the great human experiment is the willingness to recognise one’s mistakes. Some mistakes, such as Madame Curie’s discovery of Radium turned out to have great scientific potential even though she would later die a slow, painful death from radiation poisoning. Another example, from the field of ebola research….",Leonard,01,02,['Op'],7
544,Series 01 Episode 02 – The Big Bran Hypothesis,Yeah.,Leonard,01,02,[],1
547,Series 01 Episode 02 – The Big Bran Hypothesis,Six two inch dowels.,Leonard,01,02,[],1
549,Series 01 Episode 02 – The Big Bran Hypothesis," One package, Phillips head screws.",Leonard,01,02,['Phillips'],1
552,Series 01 Episode 02 – The Big Bran Hypothesis," No, please, we insist, it’s the least we can do considering. ",Leonard,01,02,[],1
555,Series 01 Episode 02 – The Big Bran Hypothesis,What?,Leonard,01,02,[],1
558,Series 01 Episode 02 – The Big Bran Hypothesis," It is an inefficient design, for example Penny has a flat screen TV, which means all the space behind it is wasted.",Leonard,01,02,['Penny'],1
560,Series 01 Episode 02 – The Big Bran Hypothesis,And control it how?,Leonard,01,02,[],1
565,Series 01 Episode 02 – The Big Bran Hypothesis," Also inefficient, and might be loud.",Leonard,01,02,[],1
569,Series 01 Episode 02 – The Big Bran Hypothesis," Oh, really, show me where we put a drip tray, a sluice and an overflow reservoir?",Leonard,01,02,[],1
572,Series 01 Episode 02 – The Big Bran Hypothesis," Oh, I’ve got it. How about if we replace panels A, B and F and crossbar H with aircraft grade aluminium. ",Leonard,01,02,[],2
575,Series 01 Episode 02 – The Big Bran Hypothesis,Meet back here in an hour?,Leonard,01,02,[],1
577,Series 01 Episode 02 – The Big Bran Hypothesis,Got it. (They all leave).,Leonard,01,02,[],2
585,Series 01 Episode 03 – The Fuzzy Boots Corollary," Don’t panic, this is what the last 97 hours have been about.",Leonard,01,03,[],1
587,Series 01 Episode 03 – The Fuzzy Boots Corollary," Warriors, unsheathe your weapons, magic wielders raise your wands.",Leonard,01,03,[],1
592,Series 01 Episode 03 – The Fuzzy Boots Corollary,Stay in formation.,Leonard,01,03,[],1
594,Series 01 Episode 03 – The Fuzzy Boots Corollary," That’s alright, my tail’s prehensile, I’ll swat him off.",Leonard,01,03,[],1
596,Series 01 Episode 03 – The Fuzzy Boots Corollary," Raj, no, it’s a trap, they’re flanking us!",Leonard,01,03,['Raj'],1
600,Series 01 Episode 03 – The Fuzzy Boots Corollary," Forget the sword, Sheldon, help Raj.",Leonard,01,03,"['Sheldon', 'Raj']",1
603,Series 01 Episode 03 – The Fuzzy Boots Corollary," Dammit man, we’re dying here. ",Leonard,01,03,[],1
605,Series 01 Episode 03 – The Fuzzy Boots Corollary,The bastard teleported. ,Leonard,01,03,[],1
607,Series 01 Episode 03 – The Fuzzy Boots Corollary," You betrayed us for money, who are you?",Leonard,01,03,[],1
612,Series 01 Episode 03 – The Fuzzy Boots Corollary," No, I can’t look at you or your avatar right now.",Leonard,01,03,[],1
614,Series 01 Episode 03 – The Fuzzy Boots Corollary,Excuse me.,Leonard,01,03,[],1
616,Series 01 Episode 03 – The Fuzzy Boots Corollary," Oh, right, right right right right.",Leonard,01,03,[],1
621,Series 01 Episode 03 – The Fuzzy Boots Corollary,Not much. Bro. ,Leonard,01,03,[],2
623,Series 01 Episode 03 – The Fuzzy Boots Corollary," Uh, yeah, uh, I just, I got your mail again, here.",Leonard,01,03,[],1
625,Series 01 Episode 03 – The Fuzzy Boots Corollary," Oh no, that’s probably not such a good idea. Civil servants have a documented propensity to, you know, snap. ",Leonard,01,03,[],2
627,Series 01 Episode 03 – The Fuzzy Boots Corollary," No problem. Bye. Oh, and, bye, bro! (Returns to apartment).",Leonard,01,03,[],4
630,Series 01 Episode 03 – The Fuzzy Boots Corollary," No, I’m fine. Penny’s fine, the guy she’s kissing is really fine and…",Leonard,01,03,['Penny'],2
632,Series 01 Episode 03 – The Fuzzy Boots Corollary,What is wrong with you?,Leonard,01,03,[],1
635,Series 01 Episode 03 – The Fuzzy Boots Corollary," No, I’m not jealous, I’m just a little concerned for her. I didn’t like the look of the guy that she was with.",Leonard,01,03,[],2
637,Series 01 Episode 03 – The Fuzzy Boots Corollary,Yeah. He was kinda dreamy.,Leonard,01,03,[],2
640,Series 01 Episode 03 – The Fuzzy Boots Corollary," Well, I’m done with Penny. I’m going to be more realistic and go after someone my own speed.",Leonard,01,03,['Penny'],2
642,Series 01 Episode 03 – The Fuzzy Boots Corollary,I don’t know. Olivia Geiger?,Leonard,01,03,['Olivia'],2
644,Series 01 Episode 03 – The Fuzzy Boots Corollary,Yeah.,Leonard,01,03,[],1
647,Series 01 Episode 03 – The Fuzzy Boots Corollary,So?,Leonard,01,03,[],1
649,Series 01 Episode 03 – The Fuzzy Boots Corollary," Look, Howard, if I were to ask Lesley Winkle out it would just be for dinner, I’m not going to walk into the lab, ask her to strip naked and dance for me.",Leonard,01,03,"['Howard', 'Lesley']",1
652,Series 01 Episode 03 – The Fuzzy Boots Corollary,Hello Lesley.,Leonard,01,03,['Lesley'],1
654,Series 01 Episode 03 – The Fuzzy Boots Corollary,Lesley I would like to propose an experiment.,Leonard,01,03,['Lesley'],1
